January - December 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",47.63,30,-5.87,53.5
AL-003,"Baldwin County",55.61,34,-6.28,61.89
AL-005,"Barbour County",44.59,25,-7.71,52.3
AL-007,"Bibb County",52.44,50,-2.73,55.17
AL-009,"Blount County",64.6,106,9.09,55.51
AL-011,"Bullock County",45.23,26,-6.85,52.08
AL-013,"Butler County",47.28,23,-8.43,55.71
AL-015,"Calhoun County",57.1,87,3.78,53.32
AL-017,"Chambers County",53.13,68,-0.16,53.29
AL-019,"Cherokee County",61.73,105,8.21,53.52
AL-021,"Chilton County",47.52,31,-6.64,54.16
AL-023,"Choctaw County",58.43,78,1.62,56.81
AL-025,"Clarke County",51.57,35,-6.33,57.9
AL-027,"Clay County",57.74,74,1.95,55.79
AL-029,"Cleburne County",53.46,65,-0.43,53.89
AL-031,"Coffee County",42.85,9,-13.35,56.2
AL-033,"Colbert County",70.41,123,16.86,53.55
AL-035,"Conecuh County",51.87,31,-6.14,58.01
AL-037,"Coosa County",51.98,51,-2.63,54.61
AL-039,"Covington County",47.43,11,-11.2,58.63
AL-041,"Crenshaw County",46.16,18,-9.21,55.37
AL-043,"Cullman County",67.49,116,11.42,56.07
AL-045,"Dale County",42.92,13,-11.47,54.39
AL-047,"Dallas County",45.96,27,-6.84,52.8
AL-049,"DeKalb County",64.47,103,9.03,55.44
AL-051,"Elmore County",48.01,42,-5.42,53.43
AL-053,"Escambia County",52.23,24,-8.2,60.43
AL-055,"Etowah County",65.12,113,10.72,54.4
AL-057,"Fayette County",78.61,126,22.37,56.24
AL-059,"Franklin County",74.89,125,20.19,54.7
AL-061,"Geneva County",44.49,10,-12.72,57.21
AL-063,"Greene County",61.49,105,8.55,52.94
AL-065,"Hale County",56.56,80,2.85,53.71
AL-067,"Henry County",43.91,20,-9.41,53.32
AL-069,"Houston County",43.12,15,-11.03,54.15
AL-071,"Jackson County",65.11,111,10.35,54.76
AL-073,"Jefferson County",53.12,49,-2.37,55.49
AL-075,"Lamar County",77.66,126,22.71,54.95
AL-077,"Lauderdale County",69.67,120,15.68,53.99
AL-079,"Lawrence County",69.46,122,16.05,53.41
AL-081,"Lee County",50.57,59,-1.71,52.28
AL-083,"Limestone County",68.0,120,14.27,53.73
AL-085,"Lowndes County",46.4,31,-5.96,52.36
AL-087,"Macon County",47.12,40,-4.6,51.72
AL-089,"Madison County",67.94,120,13.57,54.37
AL-091,"Marengo County",46.36,25,-7.82,54.18
AL-093,"Marion County",78.21,127,22.62,55.59
AL-095,"Marshall County",64.89,110,10.51,54.38
AL-097,"Mobile County",61.3,55,-1.18,62.48
AL-099,"Monroe County",47.68,20,-9.56,57.24
AL-101,"Montgomery County",46.41,34,-5.7,52.11
AL-103,"Morgan County",66.06,117,12.1,53.96
AL-105,"Perry County",48.96,41,-4.6,53.56
AL-107,"Pickens County",73.06,123,19.68,53.38
AL-109,"Pike County",46.53,23,-7.84,54.37
AL-111,"Randolph County",55.04,71,0.4,54.64
AL-113,"Russell County",46.48,45,-3.36,49.84
AL-115,"St. Clair County",58.15,76,3.09,55.06
AL-117,"Shelby County",52.52,49,-2.31,54.83
AL-119,"Sumter County",56.15,80,2.05,54.1
AL-121,"Talladega County",56.15,75,2.5,53.65
AL-123,"Tallapoosa County",51.77,58,-2.45,54.22
AL-125,"Tuscaloosa County",61.9,99,6.51,55.39
AL-127,"Walker County",63.95,100,7.45,56.5
AL-129,"Washington County",65.8,96,6.12,59.68
AL-131,"Wilcox County",42.58,10,-11.67,54.25
AL-133,"Winston County",74.49,125,18.07,56.42
AZ-001,"Apache County",12.73,63,-0.72,13.45
AZ-003,"Cochise County",17.41,107,2.78,14.63
AZ-005,"Coconino County",14.63,91,1.04,13.59
AZ-007,"Gila County",23.92,103,3.2,20.72
AZ-009,"Graham County",18.73,107,3.49,15.24
AZ-011,"Greenlee County",19.15,94,2.38,16.77
AZ-012,"La Paz County",7.27,99,1.31,5.96
AZ-013,"Maricopa County",12.45,116,3.19,9.26
AZ-015,"Mohave County",14.8,119,4.23,10.57
