"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","4.76","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1974-06","ISO_DATE"
"National Centers for Environmental Information","7.16","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-06","ISO_DATE"
"National Centers for Environmental Information","22.7","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1997-06","ISO_DATE"
"National Centers for Environmental Information","2.18","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2008-06","ISO_DATE"
"National Centers for Environmental Information","13.22","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1996-07","ISO_DATE"
"National Centers for Environmental Information","16.36","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2022-11","ISO_DATE"
"National Centers for Environmental Information","18.79","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2020-11","ISO_DATE"
"National Centers for Environmental Information","25.74","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1988-11","ISO_DATE"
"National Centers for Environmental Information","13.54","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1952-11","ISO_DATE"
"National Centers for Environmental Information","10.28","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-11","ISO_DATE"
"National Centers for Environmental Information","11.02","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2004-11","ISO_DATE"
"National Centers for Environmental Information","7.57","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1953-11","ISO_DATE"
"National Centers for Environmental Information","2.33","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1983-11","ISO_DATE"
"National Centers for Environmental Information","7.24","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1976-11","ISO_DATE"
"National Centers for Environmental Information","25.16","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1992-11","ISO_DATE"
"National Centers for Environmental Information","15.57","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1998-11","ISO_DATE"
"National Centers for Environmental Information","15.87","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1954-02","ISO_DATE"
"National Centers for Environmental Information","11.28","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1954-07","ISO_DATE"
"National Centers for Environmental Information","7.56","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2017-07","ISO_DATE"
"National Centers for Environmental Information","8.06","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2015-07","ISO_DATE"
"National Centers for Environmental Information","6.54","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2001-07","ISO_DATE"
"National Centers for Environmental Information","10.26","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2003-07","ISO_DATE"
"National Centers for Environmental Information","8.06","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2012-07","ISO_DATE"
"National Centers for Environmental Information","1.38","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2010-02","ISO_DATE"
"National Centers for Environmental Information","4.95","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1981-02","ISO_DATE"
"National Centers for Environmental Information","9.17","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1980-07","ISO_DATE"
"National Centers for Environmental Information","9.56","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1977-02","ISO_DATE"
"National Centers for Environmental Information","6.36","STRING","Hawaii","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1977-07","ISO_DATE"
