AGENCY 0,DATA 0,DATA TYPE 0,LOCATION 0,LOCATION TYPE 0,SOURCE 0,SOURCE TYPE 0,SUBJECT 0,TIME 0,TIME TYPE 0
National Centers for Environmental Information,75.25,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1974-06,ISO_DATE
National Centers for Environmental Information,75.4,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-06,ISO_DATE
National Centers for Environmental Information,76.68,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1997-06,ISO_DATE
National Centers for Environmental Information,75.37,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2008-06,ISO_DATE
National Centers for Environmental Information,77.52,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1996-07,ISO_DATE
National Centers for Environmental Information,74.3,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2022-11,ISO_DATE
National Centers for Environmental Information,76.85,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2020-11,ISO_DATE
National Centers for Environmental Information,76.28,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1988-11,ISO_DATE
National Centers for Environmental Information,72.95,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1952-11,ISO_DATE
National Centers for Environmental Information,77.45,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2019-11,ISO_DATE
National Centers for Environmental Information,75.27,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2004-11,ISO_DATE
National Centers for Environmental Information,71.83,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1953-11,ISO_DATE
National Centers for Environmental Information,73.8,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1983-11,ISO_DATE
National Centers for Environmental Information,74.47,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1976-11,ISO_DATE
National Centers for Environmental Information,75.2,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1992-11,ISO_DATE
National Centers for Environmental Information,72.35,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1998-11,ISO_DATE
National Centers for Environmental Information,70.55,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1954-02,ISO_DATE
National Centers for Environmental Information,74.97,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1954-07,ISO_DATE
National Centers for Environmental Information,77.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2017-07,ISO_DATE
National Centers for Environmental Information,79.39,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2015-07,ISO_DATE
National Centers for Environmental Information,75.35,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2001-07,ISO_DATE
National Centers for Environmental Information,77.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2003-07,ISO_DATE
National Centers for Environmental Information,74.44,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2012-07,ISO_DATE
National Centers for Environmental Information,72.21,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2010-02,ISO_DATE
National Centers for Environmental Information,72.63,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1981-02,ISO_DATE
National Centers for Environmental Information,77.77,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1980-07,ISO_DATE
National Centers for Environmental Information,74,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1977-02,ISO_DATE
National Centers for Environmental Information,77.02,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1977-07,ISO_DATE
National Centers for Environmental Information,71.88,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1975-02,ISO_DATE
National Centers for Environmental Information,73.5,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2022-02,ISO_DATE
National Centers for Environmental Information,70.46,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2006-02,ISO_DATE
National Centers for Environmental Information,71.84,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1971-02,ISO_DATE
National Centers for Environmental Information,76.68,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1987-07,ISO_DATE
National Centers for Environmental Information,74.34,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1962-07,ISO_DATE
National Centers for Environmental Information,76.53,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2002-07,ISO_DATE
National Centers for Environmental Information,72.21,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1975-12,ISO_DATE
National Centers for Environmental Information,73.32,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2018-12,ISO_DATE
National Centers for Environmental Information,71.06,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1984-12,ISO_DATE
National Centers for Environmental Information,71.63,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2011-12,ISO_DATE
National Centers for Environmental Information,70.45,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1949-12,ISO_DATE
National Centers for Environmental Information,72.08,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1950-01,ISO_DATE
National Centers for Environmental Information,75.81,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1950-08,ISO_DATE
National Centers for Environmental Information,75.15,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1950-09,ISO_DATE
National Centers for Environmental Information,71.87,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1982-01,ISO_DATE
National Centers for Environmental Information,74.5,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2009-05,ISO_DATE
National Centers for Environmental Information,74.31,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2008-10,ISO_DATE
National Centers for Environmental Information,76.06,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1998-08,ISO_DATE
National Centers for Environmental Information,74.15,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1998-10,ISO_DATE
National Centers for Environmental Information,73.73,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1979-05,ISO_DATE
National Centers for Environmental Information,75.5,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1995-05,ISO_DATE
National Centers for Environmental Information,73.37,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1996-01,ISO_DATE
National Centers for Environmental Information,76.05,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1996-05,ISO_DATE
National Centers for Environmental Information,74.65,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2014-05,ISO_DATE
National Centers for Environmental Information,79.43,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,2014-09,ISO_DATE
National Centers for Environmental Information,69.11,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1960-01,ISO_DATE
National Centers for Environmental Information,71.37,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1983-01,ISO_DATE
National Centers for Environmental Information,74.02,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1983-10,ISO_DATE
National Centers for Environmental Information,73.15,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1951-05,ISO_DATE
National Centers for Environmental Information,75.47,STRING,Hawaii,COUNTY,https://www.ncei.noaa.gov/pub/data/cirs/climdiv/,URL,Temperature MA Split By FIPS,1951-08,ISO_DATE
